,host_id,num_host_listings
0,908,2
1,2971,1
2,7532,15
3,7572,1
4,7620,3
5,7878,3
6,7984,4
7,8145,3
8,8451,1
9,8740,4
10,9187,1
11,13512,16
12,14040,3
13,17690,1
14,21349,1
15,21844,1
16,22083,1
17,22355,1
18,29770,3
19,32184,2
20,38067,6
21,45398,7
22,45408,3
23,47918,1
24,51647,2
25,52931,10
26,52969,3
27,53101,2
28,53489,1
29,53657,5
30,54237,1
31,54245,3
32,54392,3
33,54527,1
34,54543,1
35,54660,14
36,54663,7
37,54814,4
38,59414,18
39,61146,1
40,61673,1
41,61876,1
42,63444,3
43,65594,1
44,67435,1
45,69439,10
46,70541,2
47,70681,2
48,71120,5
49,77633,6
50,80049,1
51,83082,2
52,83404,1
53,85132,11
54,85234,3
55,90123,1
56,93320,1
57,94828,2
58,99312,1
59,101277,1
60,103427,2
61,104041,1
62,108776,1
63,115340,1
64,115626,2
65,121365,1
66,130393,1
67,132859,1
68,134723,1
69,137039,3
70,148989,2
71,150358,3
72,151181,2
73,158713,3
74,159123,1
75,162577,2
76,165595,3
77,167085,3
78,169230,1
79,172184,1
80,173185,1
81,176324,1
82,178796,2
83,189585,1
84,190063,1
85,200945,1
86,202236,2
87,204441,13
88,207897,3
89,212132,2
90,219151,1
91,222740,1
92,224652,1
93,225071,5
94,229854,16
95,232653,2
96,243839,1
97,244235,1
98,245410,3
99,259083,1
100,263452,3
101,265004,3
102,265302,1
103,273100,2
104,273174,1
105,276703,1
106,277240,2
107,279120,2
108,279235,2
109,281160,1
110,283136,4
111,289366,1
112,294812,2
113,295585,3
114,302145,1
115,304444,1
116,317618,11
117,320534,1
118,320890,1
119,328451,2
120,335540,1
121,350744,1
122,351008,2
123,352942,1
124,354691,1
125,361961,1
126,364088,14
127,365193,2
128,367993,1
129,376947,7
130,395819,1
131,396576,1
132,396919,1
133,400162,10
134,407196,1
135,410721,1
136,413911,1
137,414235,1
138,429062,1
139,442698,3
140,447183,1
141,451536,1
142,461037,19
143,462610,1
144,463724,2
145,467603,1
146,469871,1
147,479545,2
148,483893,2
149,484982,4
150,491877,1
151,492687,2
152,498638,1
153,499252,1
154,511382,1
155,521374,2
156,523713,1
157,527130,2
158,547507,1
159,555546,1
160,571182,1
161,590435,2
162,594329,1
163,606090,1
164,606253,2
165,615061,1
166,616821,1
167,625762,1
168,626078,1
169,626714,1
170,634010,1
171,639198,1
172,645093,2
173,648867,1
174,652990,1
175,658155,2
176,678835,1
177,680107,195
178,681643,1
179,686552,1
180,690195,27
181,690957,2
182,699682,1
183,710193,1
184,710680,3
185,720820,1
186,725066,1
187,733802,46
188,740644,17
189,741507,1
190,742434,1
191,743900,4
192,745472,2
193,747055,3
194,756093,71
195,770461,4
196,781893,1
197,783033,1
198,791732,4
199,795298,1
200,801306,1
201,816630,1
202,819572,1
203,824019,2
204,831472,1
205,838848,2
206,855286,2
207,856948,1
208,868231,4
209,872202,1
210,885888,2
211,899157,1
212,903292,1
213,905677,1
214,917684,3
215,919364,1
216,929273,1
217,931561,1
218,932040,3
219,932861,3
220,948197,2
221,951181,1
222,953343,1
223,957687,1
224,967976,1
225,968664,1
226,970293,5
227,975936,1
228,980100,4
229,981480,1
230,986459,1
231,986776,1
232,990551,2
233,990626,1
234,997199,2
235,1000585,1
236,1006720,1
237,1010934,2
238,1011296,3
239,1025317,2
240,1036212,1
241,1040710,2
242,1091883,6
243,1099814,1
244,1113923,1
245,1117953,1
246,1118742,9
247,1129492,1
248,1139037,1
249,1152097,1
250,1164814,3
251,1166413,3
252,1166569,1
253,1173582,1
254,1187199,2
255,1188354,3
256,1191923,9
257,1191929,3
258,1192085,1
259,1192698,8
260,1195817,3
261,1196996,2
262,1205074,1
263,1231800,1
264,1236012,1
265,1239659,2
266,1247656,1
267,1247951,7
268,1251758,1
269,1255224,2
270,1260215,1
271,1262789,3
272,1267600,1
273,1274041,5
274,1275000,1
275,1283805,2
276,1287271,3
277,1298922,1
278,1312814,1
279,1314236,1
280,1315429,1
281,1327393,1
282,1330563,1
283,1339470,2
284,1344340,4
285,1348821,2
286,1350533,1
287,1351969,8
288,1357332,1
289,1359866,1
290,1360072,1
291,1372673,1
292,1378424,3
293,1382491,2
294,1385954,1
295,1386589,1
296,1388608,2
297,1399029,5
298,1409765,2
299,1411093,3
300,1414711,1
301,1423797,8
302,1425322,1
303,1429028,2
304,1429382,1
305,1430101,1
306,1436625,4
307,1446786,1
308,1452413,6
309,1461311,1
310,1468538,3
311,1469221,1
312,1474347,1
313,1478274,4
314,1480303,1
315,1486449,1
316,1486840,1
317,1490123,1
318,1491692,1
319,1495259,1
320,1498592,8
321,1504615,1
322,1512250,1
323,1512464,4
324,1516971,3
325,1525720,1
326,1525725,2
327,1527669,1
328,1528780,2
329,1537074,1
330,1543028,1
331,1547207,2
332,1559648,1
333,1563292,1
334,1567340,2
335,1567474,1
336,1571696,1
337,1579356,2
338,1582717,1
339,1596111,1
340,1604689,1
341,1605180,1
342,1615797,1
343,1617819,3
344,1619202,1
345,1620572,3
346,1622579,1
347,1643064,3
348,1648019,1
349,1649063,1
350,1649104,1
351,1652240,1
352,1654438,2
353,1661953,1
354,1662757,1
355,1666056,2
356,1666240,1
357,1671698,2
358,1671879,1
359,1677018,2
360,1686121,1
361,1698030,1
362,1699469,2
363,1702449,1
364,1705120,4
365,1709788,1
366,1746314,1
367,1758231,1
368,1761087,2
369,1770887,107
370,1777265,3
371,1793811,1
372,1795667,2
373,1802336,1
374,1803883,1
375,1810326,1
376,1815249,1
377,1832361,1
378,1838701,5
379,1846405,3
380,1848089,1
381,1859165,2
382,1866267,12
383,1867700,3
384,1892773,2
385,1905893,1
386,1927133,1
387,1928202,2
388,1931360,1
389,1982650,2
390,1992840,1
391,1995357,4
392,2000396,1
393,2008598,1
394,2010430,1
395,2015818,1
396,2026703,1
397,2027750,1
398,2032556,1
399,2034919,2
400,2044335,1
401,2044744,1
402,2052410,1
403,2059061,1
404,2063391,1
405,2065318,1
406,2073003,3
407,2073706,1
408,2078447,7
409,2082339,1
410,2084492,9
411,2088791,3
412,2090452,1
413,2097691,2
414,2112511,1
415,2119710,1
416,2120838,7
417,2126071,3
418,2128914,5
419,2134638,3
420,2147855,1
421,2157197,1
422,2161416,2
423,2173007,1
424,2177988,2
425,2180671,1
426,2180698,1
427,2184953,3
428,2187300,1
429,2224367,1
430,2241417,2
431,2242660,1
432,2244527,2
433,2276544,2
434,2287806,1
435,2288650,1
436,2294674,1
437,2308436,3
438,2312969,2
439,2334878,1
440,2349948,31
441,2351031,1
442,2351684,1
443,2365639,7
444,2384634,25
445,2393210,3
446,2398974,1
447,2401853,2
448,2401939,1
449,2415291,1
450,2416813,1
451,2431788,1
452,2433572,3
453,2434242,1
454,2438227,1
455,2441500,1
456,2442135,13
457,2445738,5
458,2447988,1
459,2450389,8
460,2452524,1
461,2456676,2
462,2458274,1
463,2491422,2
464,2498001,3
465,2504790,1
466,2506636,1
467,2529803,2
468,2556645,1
469,2574275,2
470,2574970,1
471,2578593,1
472,2584581,1
473,2586307,1
474,2595445,1
475,2597122,1
476,2601185,1
477,2602554,4
478,2610545,1
479,2612922,1
480,2621279,3
481,2624732,1
482,2627867,1
483,2628110,1
484,2629713,1
485,2646888,1
486,2648551,2
487,2649097,23
488,2649568,2
489,2655267,3
490,2657067,2
491,2657251,1
492,2665598,1
493,2665710,1
494,2665815,1
495,2672407,3
496,2682061,2
497,2706373,1
498,2709332,6
499,2712994,1
500,2715148,1
501,2716758,1
502,2732545,1
503,2742136,1
504,2742979,1
505,2756362,1
506,2763265,1
507,2767140,2
508,2776473,3
509,2782470,3
510,2783824,2
511,2792388,2
512,2818021,1
513,2845098,3
514,2847058,2
515,2849873,1
516,2872572,14
517,2873746,4
518,2874260,12
519,2883995,1
520,2885000,1
521,2896122,1
522,2898389,1
523,2899937,1
524,2902398,5
525,2904744,1
526,2918214,1
527,2919481,1
528,2956596,3
529,2957218,1
530,2970413,1
531,2985205,1
532,3012291,1
533,3013859,1
534,3042995,3
535,3057178,1
536,3058490,1
537,3058644,1
538,3078720,1
539,3078892,4
540,3078927,1
541,3079004,1
542,3085566,1
543,3086316,1
544,3103484,2
545,3131399,1
546,3140422,2
547,3141969,3
548,3151325,4
549,3152360,22
550,3185331,1
551,3188262,1
552,3190120,2
553,3198465,3
554,3199855,1
555,3200626,1
556,3200978,1
557,3211895,15
558,3221757,1
559,3222390,2
560,3238964,1
561,3240542,1
562,3246521,1
563,3250582,1
564,3252740,1
565,3256000,1
566,3258872,3
567,3263726,1
568,3280543,4
569,3284125,1
570,3293756,1
571,3293836,2
572,3294563,1
573,3299481,1
574,3317450,2
575,3323256,2
576,3327352,2
577,3329717,1
578,3330774,2
579,3332623,16
580,3334207,4
581,3336107,1
582,3352041,1
583,3364705,17
584,3393142,1
585,3393610,1
586,3414958,3
587,3415930,8
588,3420012,2
589,3442184,1
590,3443262,1
591,3444026,1
592,3452288,4
593,3459842,1
594,3481526,1
595,3489914,1
596,3521489,1
597,3521929,1
598,3528943,3
599,3530838,1
600,3541755,1
601,3552676,1
602,3554135,1
603,3554208,4
604,3563953,1
605,3576864,1
606,3579323,1
607,3584478,1
608,3593825,1
609,3611165,2
610,3625518,2
611,3637735,1
612,3637862,1
613,3638249,1
614,3640477,3
615,3644514,1
616,3657091,1
617,3685743,1
618,3692924,2
619,3699159,1
620,3702191,1
621,3720043,8
622,3738037,1
623,3741941,2
624,3768010,1
625,3787834,1
626,3815996,2
627,3817898,3
628,3829569,3
629,3830888,1
630,3845781,1
631,3860113,2
632,3866334,1
633,3869726,1
634,3878586,4
635,3880311,1
636,3881287,2
637,3932172,1
638,3937200,2
639,3939197,1
640,3946862,1
641,3948645,1
642,3964026,18
643,3964834,1
644,3970342,1
645,3975009,9
646,3978446,4
647,3990309,3
648,4010718,1
649,4032779,1
650,4036585,1
651,4043808,1
652,4049989,2
653,4051260,1
654,4052568,3
655,4071088,1
656,4071737,1
657,4090031,2
658,4108165,3
659,4110624,1
660,4112860,1
661,4114262,1
662,4122306,3
663,4134387,1
664,4134897,1
665,4141956,1
666,4150084,1
667,4161421,1
668,4163115,1
669,4171640,1
670,4172819,1
671,4175455,1
672,4176514,1
673,4177888,2
674,4186198,1
675,4200834,2
676,4204191,2
677,4207596,11
678,4220037,3
679,4220187,1
680,4224317,1
681,4227658,3
682,4228132,1
683,4230217,1
684,4231961,2
685,4233680,1
686,4244550,1
687,4252306,6
688,4255217,2
689,4263787,1
690,4264322,1
691,4266928,1
692,4273081,1
693,4274495,1
694,4276101,1
695,4284021,1
696,4288898,1
697,4288899,2
698,4301358,1
699,4307870,2
700,4325044,1
701,4336148,1
702,4340166,4
703,4343692,6
704,4352359,1
705,4352402,1
706,4392486,1
707,4394268,9
708,4410767,1
709,4412196,3
710,4432125,2
711,4438276,1
712,4440580,1
713,4440840,1
714,4464014,5
715,4471546,2
716,4473983,1
717,4478944,1
718,4495180,1
719,4500777,1
720,4506337,1
721,4515563,1
722,4519627,1
723,4526562,1
724,4529125,2
725,4529607,1
726,4532636,1
727,4533728,1
728,4555302,1
729,4557953,1
730,4567468,1
