,host_id,host_name,host_about,num_host_listings
2132,39073224,Maui Resort Rentals,"The Ohana (Family) at Maui Resort Rentals has been helping vacationers ""Make Maui Reality"" for over 50 cumulative years on the shores of West Maui.  Inspired by the Maui lifestyle, we aim to provide incredible vacation experiences at a curated collection of premier resort residences.

For your convenience, our warehouse and offices are located in Kaanapali North Beach, just minutes from all of the West Maui resorts.

Our Ritz-Carlton and Marriott trained staff are here to serve. Your guest experience is our highest priority. The privilege to host your precious Maui vacation is ours. 

As an added benefit, our exclusive Maui Resort Rentals courtesy shuttle offers free guest transportation between our West Maui resorts a number of West Maui locations - including Lahaina, Kapalua, and Whaler's Village.

www.airbnb.com/p/mauiresortrentals",488
3183,107293305,Gather,"Gather with us! Gather Vacation Rentals is the leading luxury property manager in the US. Gather was founded in 2005 and our properties reflect our high standards of excellence. With over 400 professionally managed luxury homes available for vacation rentals, we are committed to making sure that our vacation clients experience the very best in quality, delivery, and outstanding service Our Vacation Rental Management Team reflects our high standards of excellence. With over 400 professionally managed luxury homes available for vacation rentals throughout the US, we are committed to ensuring our vacation clients experience the very best in quality, delivery, and outstanding service. Active Member of: - (VRMA) Vacation Rental Managers Association - (NAR) National Association of Realtors",433
3448,132087088,Maui Condo,"At Maui Condo and Home, LLC we continue to serve our owners and guests with the same Aloha Spirit that we shared over 20 years ago. Though our business has changed through expansion and growth to include properties beyond Maui -- on the islands of Oahu, Hawaii and Kauai --  our values and sense of Aloha remain. We have implemented new business strategies and have remained at the top of the Property Management industry on Maui. We are excited to continue to serve our current owners and return guests, as well as welcome new owners and guests to Maui Condo and Home.
Click here to view all  of our listings: www.airbnb.com/p/mauicondo",401
3256,113441705,My Perfect Stays,"My Perfect Stays is here to make your Maui vacation unforgettable! We are committed to delivering our valued guests the very best in quality and service. A member of our team will be available throughout your trip and beyond to ensure your vacation is hassle free and relaxing from the moment you arrive. We offer complimentary concierge services with all our properties.

My Perfect Stays
(800) 295-3855
reservations@myperfectstays.com",332
4096,231330348,Coral Tree Residences,"Welcoming visitors to the Hawaiin islands for 30 years, Destination Residences Hawaii specializes in an exclusive selection of vacation residences that offers the comfort and convenience of a Maui vacation rental, paired with unparalleled hotel services and amenities.

Pro Marketing Page Link:
https://www.airbnb.com/users/231330348/listings",306
2103,37839136,Vacasa Hawaii,"Hi, we’re Vacasa, North America’s largest vacation rental management company. Owners of vacation homes around the world trust us to deliver exceptional service throughout your entire vacation. Professional housekeepers clean and stock each home, and our customer care team is available around the clock—with a local property manager ready to show up and help out. We like to think we offer the best of both worlds: you can enjoy a one-of-a-kind vacation experience in a unique property, without compromising on service and convenience. Check out our listings, and get in touch if you have any questions. Your vacation is our full-time job, and we'd love to help you plan your perfect getaway.",303
4714,442029804,Live Suite,"At Live Suite Resorts, we help timeshare owners rent their suites to cover their HOA fees.  We ask that you support our wonderful owners instead of the big hotel chains! Thank you!",284
3233,111808435,Vacasa,"Vacasa
Vacation Home Management

Vacasa unlocks the possibilities of how we enjoy vacation homes. We take care of managing our homeowners’ vacation houses so they can have peace of mind (and their home when they want to). And our guests book vacations confidently knowing they’re going to find exactly what they’re looking for without any surprises.

Each vacation home is always cared for by our professional local teams who implement our high cleanliness and maintenance values, while the hands-off tasks of vacation rental management--marketing, filing taxes, and maintaining a website--are handled by a specialized central support team. Our passion and focus remain true: to empower our homeowners, guests, and employees to invest in vacation.",274
3124,101401250,Parrish Kauai,"Jonathan Parrish, or ""JP"" as he is referred to by friends, family, and colleagues, is actively involved with the day to day activities of The Parrish Collection Kauai.  

My personal goal is to ensure that we are exceeding the expectations of all our guests! 

Explore our unique collections of extraordinary Kauai vacation rentals, then match your style with the largest variety of properties available including the Kauai’s most popular resorts and widest selection of oceanfront homes in Poipu Beach. 

",252
4753,451239593,Hawaii Vacation Condos By OUTRIGGER,"The Outrigger Way

Developed in 1993 with Hawaiian scholar and historian Dr. George Kanahele, the Ke 'Ano Wa'a process was designed to advance the company's corporate culture and fundamental business strategies. The values-based process intricately connected three core elements of the hospitality industry:

HOST + GUEST + PLACE

It also deepened Outrigger's understanding and appreciation of the local host culture, a distinct hospitality style that is recognized across the globe.",250
