,host_id,host_name,private_rooms
1089,468914400,RoomPicks,79
1172,501999278,RoomPicks,77
954,373168709,Mick,58
949,366621778,Robello,57
919,326084746,Suiteness,54
842,247434154,Priya,48
1158,495438734,RoomPicks,48
239,20120594,Ann,46
1173,501999514,RoomPicks,43
873,266083019,Extra Holidays®,42
1103,475667984,Miriam,38
738,174792040,RoomPicks By Victoria,35
1099,475536142,Leah,34
1143,489363368,Vacation Award,33
611,117881929,Talia,33
312,31214940,Scott,33
1107,475674081,Brantley,33
789,215548272,Tom,33
637,128175133,Seaview,31
186,12057949,Holly,31
1110,475697675,Kyle,27
110,5615582,RoomPicks,26
275,25138314,RoomPicks By Antony,26
328,33749437,Hanna,25
1102,475620663,Vanessa,23
1003,410087304,Elizabeth,23
1113,475756216,Crystal,21
955,373307437,Deena,20
456,61304968,Alii Resorts,20
1112,475753117,Irene,20
695,159391934,Kalven,18
1100,475554927,Adam,17
1117,475777602,Benjamin,17
1106,475671659,Kyler,16
15,229854,John,16
1152,491592194,Royal Waikiki,15
648,133024903,Walter And Megan,14
771,200077659,Suwakon,14
478,66506549,Ryan,14
13,204441,Gary,13
951,371942068,Joy,13
663,140404508,Concierge,13
1076,458926111,Desiree,13
359,39073224,Maui Resort Rentals,12
411,50887036,Hanqing,12
1116,475771944,Kara,12
191,12591637,Garden Manor,11
649,133981871,Nicole,11
104,4965048,Mathew,11
876,271357457,Queen Kapiolani Hotel Waikiki Beach,11
575,99679973,Sarah,11
926,336576760,Tim,10
1043,439429870,Luxury,10
805,225597185,Alan,10
762,191962531,Paul,10
783,208923666,Jong,10
7,85132,Sanford,10
894,298423960,Kaimana Beach,10
238,20070817,Ken,9
567,96578830,Annie,9
754,182704096,Aston Waikiki Beach Hotel,9
932,342517958,Pacific Monarch,9
1115,475759473,Greg,9
86,3720043,Jayson,8
559,95606356,Sheldon,8
557,95185478,Pedro & Evangeline,8
1219,536968022,Hotel,8
352,38180457,Abby And Charles,8
423,52896140,Jason,8
272,24948563,Andy,7
562,95793572,Susan,7
1239,559478507,Prince Waikiki,7
767,195869416,Paniolo,7
147,7859222,Delamarie & Kepeli,7
1159,495439249,RoomPicks,7
982,396973198,Stone,7
258,23438750,Nadeem,7
80,3415930,Hawaiian Sanctuary,7
1111,475750192,Maci,7
857,258724290,Robert,7
35,1351969,William,7
38,1423797,Jade,7
813,227941252,Gabby,7
184,11981371,Daryl,7
108,5510027,Cynthia,6
263,23935918,Holualoa,6
132,7039403,Robin,6
1169,500527968,Vacation Rentals Waikiki,6
467,65390921,Namanu,6
1071,454956830,Royal Hawaiian Hospitality,6
452,59533312,Irina,6
224,17787808,Nikita,6
400,49274617,Ricardo,6
182,11888197,Mai,6
785,211930534,Larry,6
540,89752172,Sleiman Kamal,6
430,54430471,Zhiming,6
441,56866557,Satoshi,6
531,85291863,Clark,6
1079,461110528,Happy Valley Inn,5
295,27713154,Deanne,5
42,1498592,Diana,5
928,337334778,Martin,5
1030,429953076,Karen,5
625,123451215,Gabriel,5
292,27548348,Greg,5
131,6932428,Cheriess,5
1108,475676514,Spencer,5
957,378411041,Sabrina,5
369,41290539,Sarah,5
372,41968839,Eric,5
880,276353549,Waikiki Heritage,5
497,73088478,Hanalei Colony Resort,5
287,26591491,Rick,5
229,18367531,Shawn & Staff,5
757,183975343,Kauai Shores Hotel,5
1023,423354507,Pearl,5
1056,446601400,Cody,5
603,113146878,Courtnie,5
968,386269068,Katrina,5
471,65960798,Zaldy,5
674,146356452,Nancy,5
573,99525865,Nicole,5
907,306039447,Royal Kona Resort,5
73,2874260,Maria,5
175,11369496,Brandyn & Kristina,5
673,146206347,Shannan,5
97,4252306,John,5
835,242823688,Starseed Ranch,5
1045,439608586,Erhard,5
109,5612605,Diana,5
193,12712494,Riaan And Lisa,5
112,5856233,Rene,5
708,164971898,Tom,5
515,79185046,Robert,5
96,4207596,Anya & Dan,5
938,347924388,Lorna,4
1114,475758534,Kristian,4
154,8591101,Rina,4
561,95749187,Jenniffer,4
215,16510735,Jolee House,4
595,109904033,Colleen,4
915,324638113,Gary,4
278,25282650,Megan,4
543,90113871,Alicia,4
589,107607835,Kim,4
188,12298134,West Kauai,4
1098,475530006,Sarah,4
167,10128150,Kauai Palms,4
541,90096309,Kelly,4
225,17920027,Matthew,4
487,68925881,John,4
979,394738378,Kathy,4
83,3554208,Aurora,4
79,3334207,Clem,4
331,34024330,Alohana Realty LLC,4
442,57275824,Awa,4
836,243171222,Lotus,4
343,36456763,Viviane,4
434,55323892,Samuel,4
707,163084510,Leilani,4
714,166607560,Kimberly,4
809,227149375,Greg,4
806,225939596,Mark,4
43,1512464,Julie,4
362,39621041,Nanette,4
728,171711231,Joe,4
36,1399029,Maureen,4
365,40823140,Meisheng,4
736,174123925,James,4
26,980100,Eva,4
746,176791916,Hotel La Croix,4
1026,427280501,Ally,4
376,43351849,Kelly,4
1232,551910528,Napili Surf,4
395,47284913,Lisa,4
327,33518620,Grace,4
1050,442422487,Pacific Marina Inn,4
1163,496944100,RoomPicks,4
1081,461978454,Rebecca,4
866,262533942,Sharon,4
971,387029880,Pete,4
621,122768567,Sony,4
1067,452799515,Mary,4
867,262664392,Julia,4
610,117393916,Saveliy,4
961,381422748,Bailey,4
309,30922508,Tania,4
1080,461573761,William,4
856,257907566,Mabel,4
1065,452339448,Yuan,4
290,27114189,ToDD,4
481,67222384,Magic Skies,4
1004,410121437,Sinyoung,3
1000,409179829,Kristine,3
1054,444817781,Raymond,3
496,73005994,Winnie P,3
412,51015555,Kealoha,3
1092,470654307,Gene,3
492,71030757,Yoni,3
1024,423453237,Amir,3
284,25559592,Carol,3
394,47040806,Curtis,3
1018,420169940,Han,3
361,39366616,Steven And Fabi,3
241,20333377,Deborah,3
419,52562810,Jessea,3
499,75161449,Osamu,3
953,372729440,Mary Lyn,3
449,58666379,Elizabeth,3
1096,472983412,Robert,3
1051,443293272,Jacqueline,3
506,77026550,Dee,3
1086,465769746,Elsie,3
974,389328968,Kristin,3
438,55944836,John,3
345,36741806,"Ted, Pauline And Keo",3
1073,456376911,Melanie,3
433,54691250,Steve,3
1039,436804480,David,3
1101,475557700,Catalina,3
1036,436043447,Olivia,3
356,38384696,Romolo,3
319,32075322,Briana,3
477,66386123,Edward,3
776,203404385,Volcano Forest Inn,3
194,12902911,Jeanne,3
650,133987416,IL Young,3
220,17372055,Sofia,3
1198,514180606,Mark,3
672,145914487,John A,3
89,3978446,Michelle,3
91,4052568,Patrick,3
850,253538281,Shoreline Hotel Waikiki,3
852,255338315,Lora,3
654,135114197,David,3
858,259228370,Teri,3
1185,507509003,Jason,3
153,8536565,Paliuli,3
105,4998107,Maui Eco Retreat,3
107,5407607,Paia,3
647,131179825,Rolene,3
644,130514146,Hannah,3
633,126636594,Roger,3
129,6782149,Akiko,3
134,7269721,Lisa S,3
1,8145,Normand,3
75,3042995,Scott,3
680,150835162,Joey,3
71,2672407,Cameron,3
690,157833059,Oksana,3
9,158713,Michael,3
761,190875954,Hilo Beach House,3
14,225071,Barbara,3
750,179818295,Berndt And Dan,3
792,218767750,Nicole,3
804,225163128,Nick,3
32,1195817,Eddi,3
34,1262789,Justine,3
729,172248424,Sheiva,3
1221,537985458,Nadine,3
46,1643064,Kurt,3
719,168678114,Andrew,3
52,1866267,Raymond And Azlina,3
705,162428194,Raven,3
698,160406781,Wendy,3
63,2433572,Rebecca,3
692,158333068,Mae,3
887,285147494,Mark,3
393,46744324,Gustavo,3
195,12935418,Hunter,3
1137,484671491,Ben And Katherine,3
916,325292222,Sun Beach Rentals,3
1131,483515447,Fereyel,3
187,12115521,Cody,3
163,9672055,Lolia,3
534,86030898,Soon,3
931,341568776,Thiago Arao,3
161,9635363,Bobi,3
593,109257154,Paola,3
1154,492345660,Luüz,3
576,100238132,Michael,3
200,13394407,Sharon,3
563,95913146,Ken,3
389,45863909,Audi,3
549,93069241,Andrew,3
550,93224328,Barbara,3
552,94169489,Jonathan,3
1119,478525949,Nester,3
828,236623900,Mike,2
996,407682129,Ken,2
542,90108952,Christopher,2
688,154781206,Craig/ Alan,2
948,366519169,Justin,2
