listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,property_type,accommodates,first_review,review_scores_value,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_rating,maximum_nights,listing_url,host_is_superhost,host_about,host_response_time,host_response_rate
40707945,DO NOT PUBLISH BEFORE MERGING 14891-HROV,182704096,Aston Waikiki Beach Hotel,Primary Urban Center,21.272438049316406,-157.8225555419922,Private room,290.0,1,0,,,9,365,0,,Room in hotel,1,,,,,,,,,28,https://www.airbnb.com/rooms/40707945,False,,,
39096262,$900 rooms for rent,299657655,Chelsea,Primary Urban Center,21.34029,-157.87816,Private room,,365,0,,,1,0,0,,Private room in home,2,,,,,,,,,365,https://www.airbnb.com/rooms/39096262,False,,,
735005738415289686,"The Point at Poipu, a Hilton Vacation Club, Kauai",24157156,David,Koloa-Poipu,21.870673849406533,-159.44167079919143,Private room,,7,0,,,1,353,0,"280210001000, TA-124-323-5840-01",Room in hotel,6,,,,,,,,,365,https://www.airbnb.com/rooms/735005738415289686,False,,a few days or more,33.0
31671302,Beautiful Mountain Views,120271090,Kimberly,Koolaupoko,21.44074,-157.83776,Private room,,2,8,2020-01-20,0.13,2,0,0,,Private room in bed and breakfast,2,2019-03-20,4.75,4.38,4.88,4.63,5.0,5.0,4.88,1125,https://www.airbnb.com/rooms/31671302,False,,,
1049445743922860790,Eagles forest reserve Lehua room,409342965,Sherlane,Kau,19.1282919,-155.7807563,Private room,45.0,1,1,2024-02-20,0.94,2,269,1,,Private room in bed and breakfast,2,2024-02-20,3.0,4.0,3.0,3.0,4.0,3.0,3.0,365,https://www.airbnb.com/rooms/1049445743922860790,False,show dog handler dog groomer I enjoy gardening in Spair time originally  from oahu spent several years in Hana maui I also worked  at hotel hana maui as an exitive  house keeper   like meeting new people and telling legends of the 3 islands,within an hour,88.0
1092779542821097837,Comfy Room in Hawaiian Country - Puna,461573761,William,Puna,19.520353727608025,-154.85422132009094,Private room,44.0,3,0,,,4,255,0,,Private room in farm stay,1,,,,,,,,,365,https://www.airbnb.com/rooms/1092779542821097837,False,,within a few hours,100.0
2129882,"4 For KAPAA SHORE, KAUAI, HI",85132,Sanford,Kapaa-Wailua,22.08743,-159.33697,Private room,379.0,2,9,2018-05-06,0.07,11,365,0,"430090040000, TA-131-896-3200-01",Room in boutique hotel,4,2014-02-19,4.78,4.67,4.89,4.89,5.0,5.0,4.78,1125,https://www.airbnb.com/rooms/2129882,True,"I'm a veteran of the US NAVY; served from 1971 - '73. For most of my time in New Orleans, I managed nightclubs in the French Quarter. Also, owned and operated a Personal Trainer business.
I've operated my travel business with AIRBNB since 2008.
I do my best to accommodate all my guests, respond to all inquiries as soon as possible, answer any and all questions, and provide them with the most accurate, up-to-date information about the resorts, and the surrounding areas.
And, I try to give the most economical rates.",within an hour,100.0
1092783420139869791,Colorful room in Kapoho,461573761,William,Puna,19.52108,-154.85402,Private room,60.0,1,0,,,4,269,0,,Private room in farm stay,2,,,,,,,,,365,https://www.airbnb.com/rooms/1092783420139869791,False,,within a few hours,100.0
54265596,Deluxe 2 Double Beds at The Equus,195869416,Paniolo,Primary Urban Center,21.28656,-157.839218,Private room,165.0,1,53,2023-10-27,2.02,7,355,9,"260110200072, Hotel, TA-055-058-2272-01",Room in boutique hotel,4,2022-01-26,4.81,4.49,4.81,4.81,4.87,4.94,4.79,365,https://www.airbnb.com/rooms/54265596,False,Enjoy the last family owned and operated boutique hotel in Waikiki! ,within an hour,100.0
759085748404980440,Real Island Feel,69570875,Lamin,Waianae,21.4088526,-158.167758,Private room,85.0,30,0,,,1,362,0,"870410340000, TA-213-301-8112-01",Private room in home,1,,,,,,,,,365,https://www.airbnb.com/rooms/759085748404980440,False,,,
692049112542339471,"Adventure Awaits! 3 Relaxing Units, Onsite Pool",174792040,RoomPicks By Victoria,Primary Urban Center,21.28356,-157.82873,Private room,1198.0,1,0,,,35,343,0,"260170280065, 000, TA-030-278-8608-01",Room in hotel,12,,,,,,,,,1125,https://www.airbnb.com/rooms/692049112542339471,False,"Going someplace new is always exciting. And what would that adventure be without a great place to lay your head at the end of the day? That is where I come in!

As an avid traveler myself, I know how the little things can set the pace for a new experience! You want something hospitable and inviting to give you a remarkable experience that no one else can give you. A heated pool, or jacuzzi at the end of the day to relax in, or a nice meal within walking distance? Down to beds that cozy and homily. Sounds good? Well, you have come to the right place.

We offer handpicked accommodations in remarkable properties for a  top-notch experience with a few added extras. As well as tips, recommendations, and 24/7 customer support to make sure that your experience is the best it can be! ",within an hour,100.0
39900491,Studio Room at WYNDHAM ROYAL GARDEN Honolulu,305956761,Dnc,Primary Urban Center,21.28503,-157.83095,Private room,250.0,3,1,2020-02-13,0.02,1,179,0,,Private room in resort,2,2020-02-13,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1125,https://www.airbnb.com/rooms/39900491,False,,,
1060904473641081971,Kona Hawaiian Resort-2 bedrooms,31214940,Scott,North Kona,19.6246269,-155.9864849,Private room,232.0,3,0,,,45,38,0,TA-148-664-9856-01,Room in hotel,6,,,,,,,,,365,https://www.airbnb.com/rooms/1060904473641081971,True,I am a certified travel agent for the past 10 years. I am married with 5 kids and a huge dog! I am a family man who loves to spend time with the family. I enjoy traveling and enjoy helping others travel even more!,within a few hours,99.0
17094276,BELLE VUE KONA - Orchid Suite,36456763,Viviane,South Kona,19.49429,-155.91885,Private room,180.0,2,5,2023-03-17,0.06,4,304,0,TA 009-824-4608-01,Private room in bed and breakfast,3,2017-08-04,4.6,4.4,5.0,5.0,5.0,4.8,4.6,32,https://www.airbnb.com/rooms/17094276,False,,within an hour,100.0
1114038610744320522,Oceanfront Paradise w/ King Bed & Beach View!,51103759,Leavon,Lahaina,20.944808006940274,-156.68766314937272,Private room,250.0,7,0,,,1,6,0,Exempt,Room in hotel,4,,,,,,,,,7,https://www.airbnb.com/rooms/1114038610744320522,False,"Welcome to Sweetstays, where we're all about creating unforgettable experiences at discounted prices. I'm Leavon, your host and co-founder. Whether you're celebrating a special occasion or simply in need of a romantic getaway, we have everything you need to relax and reconnect with your loved one. Let us take care of the details, so you can focus on each other. Don't hesitate to reach out if you have any questions.
",within a day,100.0
884997558660388799,Kona Hawaiian Resort 2BR Unit,225597185,Alan,North Kona,19.62906034994114,-155.98911081437947,Private room,300.0,4,8,2024-03-01,0.78,12,267,8,,Room in hotel,6,2023-05-23,4.88,4.75,5.0,4.75,5.0,4.88,4.88,21,https://www.airbnb.com/rooms/884997558660388799,True,,within a day,90.0
829068838508121858,"Perfect Retreat: Garden View, Pool, Parking!",495438734,RoomPicks,Wailuku-Kahului,20.890029021885432,-156.46966379914585,Private room,188.0,1,0,,,51,363,0,Exempt,Room in hotel,4,,,,,,,,,1125,https://www.airbnb.com/rooms/829068838508121858,False,,within an hour,100.0
707984,Maui Meadows Bed & Breakfast Queen,3640477,Tom & Denise,Kihei-Makena,20.69954,-156.43318,Private room,184.0,6,91,2024-01-29,0.67,3,54,7,"210140230000, TA-182-518-9888-01",Private room in bed and breakfast,2,2013-01-06,4.83,4.97,4.86,4.92,4.97,4.98,4.92,30,https://www.airbnb.com/rooms/707984,True,"Aloha we have been blessed to be living in Maui for more than 20 years. Sharing our love of these islands with our guests is our passion. Come stay with us for personal attention or complete privacy, any way you like. The Maui Meadows Bed and Breakfast is the place for clean comfortable affordable accommodations on Maui.",within an hour,100.0
34749328,"Coconut Waikiki Hotel, City View Queen",253537462,Coconut Waikiki,Primary Urban Center,21.28291,-157.8286,Private room,,1,65,2023-01-22,1.25,1,0,0,"260170280065, TA-030-278-8608-01",Room in hotel,2,2019-12-15,4.55,4.68,4.85,4.63,4.65,4.75,4.6,1125,https://www.airbnb.com/rooms/34749328,False,"It’s the way we say welcome in Hawaii. And, from daily complimentary breakfast to our famous afternoon popcorn hour, it’s at the heart of all that we do at Coconut Waikiki. So, e komo mai to our boutique Honolulu hotel, just five minutes from Waikiki Beach. Here, you are home.",,
53136705,Oceanview studio villa in a luxurious resort,226096204,Andy,Lihue,21.9628,-159.34881,Private room,,1,1,2023-01-04,0.07,2,0,0,"350020020275, TA-070-692-2496-04",Private room in resort,3,2023-01-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,https://www.airbnb.com/rooms/53136705,False,"My wife and I enjoy traveling using our timeshares around the world where we meet new people and develop many new friendships. We would like to host Airbnb members in timeshares around the globe, as well. ",,
45301690,One Bedroom Condo Westin Kaanapali North OSN1,215548272,Tom,Lahaina,20.93964,-156.6904,Private room,999.0,1,7,2024-01-25,0.21,33,14,1,Exempt,Private room in serviced apartment,4,2021-06-14,4.71,4.86,5.0,5.0,5.0,4.86,5.0,1125,https://www.airbnb.com/rooms/45301690,False,Tom lewis,within a few hours,100.0
1060916005706869627,Worldmark Resort in Kona,59220985,Ankur,North Kona,19.625637,-155.98609,Private room,357.0,7,0,,,1,8,0,,Private room in resort,6,,,,,,,,,7,https://www.airbnb.com/rooms/1060916005706869627,False,,,
49090508,Marriott Waikoloa Ocean Club (1 Bedroom),373168709,Mick,South Kohala,19.92416,-155.86792,Private room,525.0,4,2,2021-12-23,0.06,58,4,0,,Private room in resort,4,2021-06-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1125,https://www.airbnb.com/rooms/49090508,True,,within an hour,100.0
682584765379670563,Inn at Akaka Falls - 15 Minutes to Hilo - Rm#6,446601400,Cody,South Hilo,19.87096,-155.11525,Private room,149.0,1,61,2024-03-07,3.11,5,316,29,,Room in boutique hotel,2,2022-08-13,4.85,4.92,4.77,4.93,4.97,4.97,4.93,365,https://www.airbnb.com/rooms/682584765379670563,True,,within an hour,100.0
24023898,Hyatt Residence Club Kaanapali Ocean Front,180072920,Steven,Lahaina,20.91392,-156.69158,Private room,899.0,6,2,2021-08-13,0.04,1,15,0,Exempt,Private room in resort,7,2019-11-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7,https://www.airbnb.com/rooms/24023898,False,,within an hour,100.0
1061716807524099986,New! Bali Hai Wyndham 2BR Slps 6,371942068,Joy,North Shore Kauai,22.22461,-159.48022,Private room,259.0,2,4,2024-03-11,2.61,113,197,4,Exempt,Room in hotel,6,2024-02-07,5.0,4.75,5.0,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/1061716807524099986,True,"Hi, I'm Joy! I'm excited for you to check out my listings and discover all the places you can go! I would love to be a part of your travel journey, as its one of my favorite things in life! My parents had us on adventures starting at a very young age and I thankfully got to see and experience so many wonderful and breathtaking places! I love taking my family on those same adventures now and would be so excited to help you plan out some of yours! Please feel free to reach out with any questions you might have, I am representing owners of the underutilized timeshares that might be just perfect for your next journey! If there is anything you're looking for and don't see in the listings please let me know and a lot of times I can help track down exactly what you are looking for! Can't wait to start planning your next adventure with you! Happy Travels!",within a few hours,98.0
49090664,Marriott Waikoloa Ocean Club (2 Bedroom),373168709,Mick,South Kohala,19.92466,-155.86765,Private room,,3,0,,,58,0,0,,Private room in resort,8,,,,,,,,,1125,https://www.airbnb.com/rooms/49090664,True,,within an hour,100.0
46698852,Marriott Maui Ocean Club (1 Bedroom),373168709,Mick,Lahaina,20.91603,-156.6966,Private room,607.0,4,5,2023-03-09,0.13,58,12,0,Exempt,Private room in resort,4,2021-01-07,5.0,5.0,5.0,5.0,5.0,5.0,4.8,1125,https://www.airbnb.com/rooms/46698852,True,,within an hour,100.0
765834053701689918,*Kailua-Kona Resort 2BR Condo*,371942068,Joy,North Kona,19.62077,-155.98632,Private room,,5,0,,,113,0,0,,Room in hotel,6,,,,,,,,,365,https://www.airbnb.com/rooms/765834053701689918,True,"Hi, I'm Joy! I'm excited for you to check out my listings and discover all the places you can go! I would love to be a part of your travel journey, as its one of my favorite things in life! My parents had us on adventures starting at a very young age and I thankfully got to see and experience so many wonderful and breathtaking places! I love taking my family on those same adventures now and would be so excited to help you plan out some of yours! Please feel free to reach out with any questions you might have, I am representing owners of the underutilized timeshares that might be just perfect for your next journey! If there is anything you're looking for and don't see in the listings please let me know and a lot of times I can help track down exactly what you are looking for! Can't wait to start planning your next adventure with you! Happy Travels!",within a few hours,98.0
26263398,"02 Aloha Room, Beautiful Home, Walk to Town, Views",3042995,Scott,South Kohala,20.01853,-155.67679,Private room,139.0,2,55,2024-02-19,0.79,3,69,7,TA-158-054-4000-01,Private room in home,2,2018-07-01,4.91,4.82,4.89,4.98,4.91,4.93,4.96,30,https://www.airbnb.com/rooms/26263398,True,"In roughly 9 years I've had ~7,300 total guests, through Airbnb and other services. 

My goal is always to create quiet, comfortable spaces, where guests from all over the world can become part of an extended ""family"", even if just temporarily. ""Temporarily"" is relative--many guests have lived in my homes for between 1 and 5 years. As guests, my homes are your homes, and I appreciate the opportunity to be your host!",within an hour,100.0
850207231627912127,Westin Ka'anapali Ocean Resort,288543886,Mitchell,Lahaina,20.939061309677285,-156.69136291534423,Private room,,7,0,,,1,269,0,Exempt,Room in hotel,4,,,,,,,,,7,https://www.airbnb.com/rooms/850207231627912127,False,,,
834086604010365310,Ground Floor Condo with AC-Kihei Surfside #102,61304968,Alii Resorts,Kihei-Makena,20.70646016961958,-156.44538837156483,Private room,319.0,5,0,,,192,147,0,"390040280002, TA-024-318-9248-01",Private room in condo,4,,,,,,,,,365,https://www.airbnb.com/rooms/834086604010365310,False,"Ali'i is Hawaiian for ""royalty,"" and we strive to live up to our name by giving each of our guests the royal treatment. Amenities include:

Pre-check in condo inspection by our attentive staff
Personal ""Aloha"" upon your arrival
Full concierge and activity service
Gift pack of elite bath amenities
Luxury bed linens and towels

Why Us
With over 25 years of combined experience managing South Maui vacation condos in the Kihei, Wailea and Makena areas, we have earned our reputation as experts in Hawaii vacations. No one knows Maui like we do. It's the rare combination of quality and service that sets Ali'i Resorts apart. We work hard to elevate our brand to be the top vacation rental company on Maui. We maintain our 5 star Trip Advisor rating by keeping a full staff who strives to exceed your expectations for escape, and deliver your vacation accommodations with ease and satisfaction. We are your personal concierge and will work with you prior to your arrival to plan a range of services, activities, experiences, and excursions - be it a week of action and adventure or a complete relaxation. Come see us soon and let our ohana create a vacation of dreams for you and your family.

",within a few hours,100.0
31599960,Overlooking Hawaii paradise dream stay 31st floor,17787808,Nikita,Kau,19.49882,-155.29965,Private room,800.0,1,0,,,12,365,0,,Private room in bed and breakfast,3,,,,,,,,,1125,https://www.airbnb.com/rooms/31599960,True,"European female, very easy going and happy. ",within a few hours,94.0
811031125579969446,Cozy retreat in Waikiki-20F (Parking included),222890741,Jennifer,Primary Urban Center,21.287907305592345,-157.83382856586985,Private room,155.0,3,60,2024-03-16,4.37,1,250,53,"260140320371, 2011, TA-007-380-1728-01",Room in hotel,2,2023-02-05,4.85,4.92,4.83,4.97,4.98,4.95,4.93,28,https://www.airbnb.com/rooms/811031125579969446,True,"Aloha to my future guests, 

 A little about me, I clean other condos around Waikiki and my leisure time is going to the beach for a quick swim before the sunrise, and go the Ala Wai community garden to tend for my veggies and fruit trees, and in the evening I walk my cat (Ziggy) and don't worry, the studio is pet free. 

I live close by, if you need anything, call/text/email, or use the Airbnb message, I will have my son deliver to you. Aloha and have a beautiful vacation! 

If you need some ideas for your trip in Oahu, the guidebook is included a list of some popular eatery, where to snorkel, beaches, botanical gardens, museum, and hiking. ",within an hour,100.0
855253132309096592,Island Paradise Living Next to Beach!,507062548,Jennifer,Koolaupoko,21.42088,-157.74779,Private room,199.0,30,0,,,1,249,0,,Private room in home,4,,,,,,,,,365,https://www.airbnb.com/rooms/855253132309096592,False,,within a few hours,100.0
1110953912587932542,Marriott's Maui Ocean Club | 1 Bedroom I,410087304,Elizabeth,Lahaina,20.9167573,-156.6952138,Private room,978.0,1,0,,,23,213,0,Exempt,Room in hotel,4,,,,,,,,,365,https://www.airbnb.com/rooms/1110953912587932542,False,,within an hour,100.0
1110956452011498056,Marriott's Maui Ocean Club | 1 Bedroom II,410087304,Elizabeth,Lahaina,20.9167573,-156.6952138,Private room,978.0,1,0,,,23,213,0,Exempt,Room in hotel,4,,,,,,,,,365,https://www.airbnb.com/rooms/1110956452011498056,False,,within an hour,100.0
50624576,1 Bedroom on the most southern point of the US,329824567,Vicky,Kau,19.04215,-155.66088,Private room,150.0,2,0,,,1,364,0,,Private room,2,,,,,,,,,365,https://www.airbnb.com/rooms/50624576,False,,,
52756423,Westin Ka’anapali ocean resort villa studio,38180457,Abby And Charles,Lahaina,20.93875,-156.69034,Private room,,1,1,2022-01-01,0.04,13,364,0,"440140050000, TA-139-329-5360-01",Private room in resort,4,2022-01-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/52756423,False,"Hawaii. Costa Rica. Jamaica. Bahamas. Yellowstone Park, etc... At the end of one trip, I'm just counting until the next excursion somewhere exciting.  I can't live without traveling. It's in my nomadic nature to roam and never stay in one place.  From food to culture to natural wonders, I love and desire the flavors of the world on my tongue, I love and desire to be immersed in a wholly different culture, and I want to see, hear and feel the natural wonders that surround us. With my loving husband and my two boys we travel at every opportunity and we enjoy snowboarding, surfing, sightseeing. We are fond of Hawaii and have been to three of the islands (Oahu, Maui, Kauai) more times than we can count. 
As a Host on AirBnb, we offer where we go and where we have been so we know what our Guests might experience during their stay. As a result, we have the highest confidence that our Guests' stay will be a truly wonderful experience. 

Aloha and Mahalo,
Abby Heo 
  ",within an hour,100.0
846547622121834062,Marriott’s Ko Olina Beach Club,227149375,Greg,Ewa,21.331728809171132,-158.1207339069904,Private room,,7,0,,,4,0,0,Exempt,Room in hotel,4,,,,,,,,,7,https://www.airbnb.com/rooms/846547622121834062,False,,,
877160643213167136,ミニキッチン付きで少し広めのホテルのお部屋,511465324,浩一,Primary Urban Center,21.2834439,-157.8378326,Private room,,4,1,2023-11-06,0.22,1,0,1,Exempt,Room in hotel,2,2023-11-06,5.0,4.0,5.0,4.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/877160643213167136,False,"旅行が好きなので５５歳で早期退職をして、ハワイやヨーロッパなどに行っています。
滞在先の自然、文化、歴史にふれることが好きです。
特にハワイの気候、空気、自然が好きで、７０歳になる現在も毎年行っています。
　普段は空いた時間にテレビや映画やCMのエキストラをやっています。きれいな女優さんに会えることや友人が増えることで毎日楽しんでいます。",,
34275046,Ka'anapali Beach Club- 1 bedroom scenic view,31214940,Scott,Lahaina,20.94758,-156.68978,Private room,223.0,2,3,2021-12-24,0.05,45,19,0,"440010980010, TA-148-664-9856-01",Private room in resort,4,2019-05-22,3.67,4.33,4.67,3.67,3.67,4.0,3.33,1125,https://www.airbnb.com/rooms/34275046,True,I am a certified travel agent for the past 10 years. I am married with 5 kids and a huge dog! I am a family man who loves to spend time with the family. I enjoy traveling and enjoy helping others travel even more!,within a few hours,99.0
1095551793131821704,The Westin Nanea Ocean Villas Maui 1 Bedroom Unit,336576760,Tim,Lahaina,20.94318317023466,-156.69020293432922,Private room,569.0,1,0,,,96,89,0,Exempt,Room in hotel,4,,,,,,,,,365,https://www.airbnb.com/rooms/1095551793131821704,False,,within a few hours,99.0
1048230113762824108,Queen Private Rm in Shared Apt,25557853,H. Michael,North Kona,19.620167156981736,-155.98669333285383,Private room,97.0,1,1,2024-02-12,0.75,1,122,1,,Private room in rental unit,2,2024-02-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,90,https://www.airbnb.com/rooms/1048230113762824108,False,"I am avid world traveler who roams around the Earth looking for adventure. At this stage I am mostly focused on kitesurfing, skiing, running, boogey boarding, snorkeling, and seeing cultural/historical sites.",within an hour,100.0
34275050,Ka'anapali Beach Club- 1 bedroom scenic view,31214940,Scott,Lahaina,20.94912,-156.68963,Private room,223.0,2,28,2023-05-05,0.5,45,19,1,"440010980010, TA-148-664-9856-01",Private room in resort,4,2019-08-13,4.93,4.96,4.93,4.96,4.89,4.93,4.96,1125,https://www.airbnb.com/rooms/34275050,True,I am a certified travel agent for the past 10 years. I am married with 5 kids and a huge dog! I am a family man who loves to spend time with the family. I enjoy traveling and enjoy helping others travel even more!,within a few hours,99.0
32636461,Westin Nanea Ocean Resort Villa 3 bedrooms,146356452,Nancy,Lahaina,20.94286,-156.69171,Private room,,1,1,2019-04-11,0.02,5,0,0,Exempt,Private room in resort,8,2019-04-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,https://www.airbnb.com/rooms/32636461,False,,within a few hours,100.0
28441146,Westin Kaanapali Ocean Resort Villa 1BR,191962531,Paul,Lahaina,20.93985,-156.69196,Private room,,1,14,2023-04-05,0.23,10,364,1,Exempt,Room in hotel,5,2019-04-13,4.5,4.79,4.93,4.93,4.79,4.79,4.86,1125,https://www.airbnb.com/rooms/28441146,False,,within a day,80.0
1060858636438265643,Royal Garden at Waikiki-Studio,31214940,Scott,Primary Urban Center,21.2845232,-157.8301056,Private room,159.0,3,0,,,45,42,0,"260160390000, TA-148-664-9856-01",Room in hotel,2,,,,,,,,,365,https://www.airbnb.com/rooms/1060858636438265643,True,I am a certified travel agent for the past 10 years. I am married with 5 kids and a huge dog! I am a family man who loves to spend time with the family. I enjoy traveling and enjoy helping others travel even more!,within a few hours,99.0
804986831249149845,Bali Hai 3BR/3BA CW Resort,371942068,Joy,North Shore Kauai,22.222191384933005,-159.47677758626278,Private room,,3,0,,,113,0,0,"540050360000, TA-123-123-4895-12",Room in hotel,8,,,,,,,,,365,https://www.airbnb.com/rooms/804986831249149845,True,"Hi, I'm Joy! I'm excited for you to check out my listings and discover all the places you can go! I would love to be a part of your travel journey, as its one of my favorite things in life! My parents had us on adventures starting at a very young age and I thankfully got to see and experience so many wonderful and breathtaking places! I love taking my family on those same adventures now and would be so excited to help you plan out some of yours! Please feel free to reach out with any questions you might have, I am representing owners of the underutilized timeshares that might be just perfect for your next journey! If there is anything you're looking for and don't see in the listings please let me know and a lot of times I can help track down exactly what you are looking for! Can't wait to start planning your next adventure with you! Happy Travels!",within a few hours,98.0
42566385,Marriott's Ko Olina Beach Club Studio,117881929,Talia,Ewa,21.33164,-158.12122,Private room,499.0,1,39,2023-11-11,0.99,34,9,6,Exempt,Private room in resort,4,2020-12-31,4.69,4.97,5.0,4.87,5.0,4.97,4.95,1125,https://www.airbnb.com/rooms/42566385,True,"Hi! Love to travel, always looking for my next adventure!",within an hour,98.0
959195447162543068,窓の外はラグーンとビーチです。さえぎる建物はありません。最高の景色を楽しめると思います。,532156268,重隆,Primary Urban Center,21.2834439,-157.8378326,Private room,440.0,7,0,,,1,87,0,Exempt,Room in hotel,6,,,,,,,,,7,https://www.airbnb.com/rooms/959195447162543068,False,,within an hour,100.0
51744558,THE WESTIN KAANAPALI OCEAN RESORT VILLAS NORTH,419190825,Sunny,Lahaina,20.9368,-156.69186,Private room,480.0,2,5,2024-02-17,0.16,1,19,1,"244144000000, TA-139-329-5630-01",Private room in resort,4,2021-09-03,4.2,5.0,5.0,4.2,4.4,4.4,4.4,5,https://www.airbnb.com/rooms/51744558,False,,within a few hours,100.0
